feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,class
-30.65751,13.709243,-10.035045,8.356601,-3.56594,6.302431,-0.11664559,4.1175084,9.385676,6.56754,glioma
-18.934776,10.885816,-0.6166934,22.272114,3.556791,9.609112,0.98981756,5.4450154,7.948172,3.372204,glioma
-21.91662,6.048125,0.23585148,18.512714,3.0072508,10.365848,2.5223243,3.2211394,2.819511,-0.67220116,glioma
-41.794403,-6.8971853,5.627703,-3.3974051,3.0279722,-2.4074328,8.66494,1.191663,-4.5321302,1.3207129,glioma
-27.364962,-5.2604694,7.3470674,-10.793007,4.034682,4.6817827,7.5412197,-1.8336256,2.0065,-1.0193356,glioma
-31.731379,-0.60219187,5.6437583,-8.468791,5.990558,0.31833738,7.4747148,-2.5818691,2.8419018,0.9763399,glioma
-43.114357,-19.813267,6.8484836,-3.5091684,-3.028856,1.4529542,4.979832,2.732079,-0.7806649,4.518024,glioma
-5.9828453,5.192288,7.7516246,-10.826555,0.48773548,12.115505,13.381505,-1.2736858,-1.6838429,1.4251647,glioma
-27.463652,-8.855538,8.359923,-4.0366936,2.3310874,6.5178933,8.19971,-1.4414849,0.6981068,4.0344133,glioma
-28.224955,5.663208,2.3525736,4.5952272,6.090428,1.4869301,8.951141,-4.6268635,-4.3528605,1.0325865,glioma
-28.76576,2.945754,6.184352,-3.8454752,2.6719606,-2.5575917,15.482407,-1.8421208,-5.751563,0.04891805,glioma
-26.983526,1.6569225,6.542231,11.354159,13.5350065,3.8523033,-2.8194537,-3.500878,-3.4138086,-2.844877,glioma
-31.526815,-7.618515,11.589497,7.996524,9.085944,1.1773108,3.2031705,0.1412629,-6.7971973,-2.6167338,glioma
-28.62871,1.7561594,5.168237,5.5455804,14.712943,-1.848631,-5.9497385,-6.8925724,-5.982947,-3.0934615,glioma
-16.336351,-5.111069,9.679234,-2.9346085,1.3489952,11.524501,12.006499,-1.6489244,-0.031692516,1.9759618,glioma
-16.630514,-3.0522718,12.993166,-7.3685713,-0.042354666,4.6680326,10.3331585,-0.46554184,0.2605708,0.13290794,glioma
-26.664268,5.7762947,1.1195397,12.682832,12.688849,6.300068,1.0577528,-10.825419,-3.6046634,4.5654106,glioma
-17.20933,-0.36928728,16.701445,-0.13080743,5.7456346,-2.6099682,9.807732,1.9793035,-4.54683,-1.0537807,glioma
-30.416151,-5.072213,8.654357,1.1067535,7.2368007,-4.326242,8.313495,-4.1039944,-6.9288893,-0.30931687,glioma
-14.786585,-13.471785,14.103797,-4.919615,-1.9099331,0.278665,7.196261,2.3070877,-7.183479,6.22278,glioma
-8.546098,-1.8388561,16.461454,3.5295386,-1.3165454,-0.8030849,9.602169,5.2202415,-13.439629,-8.8147745,glioma
-23.17826,10.336067,4.9837804,4.3486285,13.481386,-1.6122887,4.821614,-11.052339,-5.1682305,-7.5588784,glioma
3.177295,-1.7422514,4.6724153,0.3157338,4.568901,-3.000336,-1.722366,-2.6637654,-1.5070448,23.071732,glioma
-26.391775,-1.0065149,-1.5239284,-9.813799,-4.4303393,7.8316092,18.473055,-2.116391,-5.1953707,3.5057192,glioma
-12.508726,13.220784,-4.3701262,8.440152,12.0231695,-1.5780036,-4.6657863,-2.964485,2.8163717,0.29447186,glioma
-11.736209,-9.026632,9.594588,-6.874455,-1.7553004,-5.6825075,-6.077306,4.368371,-2.6376038,9.303618,glioma
-31.578562,-10.935752,10.367786,-4.834753,2.552798,-5.986867,8.551644,2.9309428,-3.6599,2.2070427,glioma
-19.253626,-2.9474723,12.43624,0.65759337,8.985962,-12.925324,-4.6090894,0.16731773,-12.72773,-1.394797,glioma
-17.871923,-9.54751,14.87562,-4.8713813,-0.2565481,-9.751189,8.933996,6.822684,-6.6911182,3.7513013,glioma
-37.456707,5.227622,-8.452216,9.343815,-2.787411,9.845138,5.667207,-0.26450565,3.5139365,1.0947886,glioma
-37.227043,-0.42783165,-1.0575793,8.333531,8.852386,3.6860096,-5.99412,-4.7581873,4.0942445,-1.1200536,glioma
-29.334293,3.466492,2.2524788,2.7881312,2.356571,2.199443,8.316278,-4.5605206,-8.368513,-3.2396188,glioma
4.2271485,10.538109,15.661797,-3.6471405,2.5555918,2.5888507,13.93624,0.47218624,-8.735803,1.3921533,glioma
