feature_1,class
-30.75131,glioma
-18.48877,glioma
-20.827864,glioma
-39.520237,glioma
-25.251736,glioma
-29.936459,glioma
-40.003174,glioma
-5.2042108,glioma
-25.107037,glioma
-27.169334,glioma
-27.431274,glioma
-25.414528,glioma
-29.216908,glioma
-27.411413,glioma
-14.624362,glioma
-15.034379,glioma
-25.823359,glioma
-16.128407,glioma
-28.489233,glioma
-12.770155,glioma
-7.6323085,glioma
-22.924408,glioma
3.587683,glioma
-24.962011,glioma
-12.653714,glioma
-9.978609,glioma
-29.15877,glioma
-17.971636,glioma
-16.08221,glioma
-36.27439,glioma
-35.44437,glioma
-27.877758,glioma
4.094843,glioma
-50.906464,glioma
-22.837828,glioma
-27.944088,glioma
-34.74536,glioma
-21.252419,glioma
-4.1069555,glioma
-5.136315,glioma
6.5377326,glioma
-14.501919,glioma
-40.399635,glioma
-20.151648,glioma
-14.604103,glioma
4.070654,glioma
11.710901,glioma
16.625538,glioma
5.7912607,glioma
-23.178185,glioma
7.957705,glioma
-35.22716,glioma
-49.95845,glioma
-30.723217,glioma
-36.010906,glioma
-31.40827,glioma
-41.07603,glioma
-45.31022,glioma
-28.984152,glioma
-32.498127,glioma
-39.753246,glioma
-41.513935,glioma
-40.25856,glioma
-40.103687,glioma
-32.929974,glioma
-34.773273,glioma
-54.009487,glioma
-46.629704,glioma
-31.240046,glioma
-38.921055,glioma
-47.097645,glioma
-41.689804,glioma
-46.00098,glioma
-41.09312,glioma
-27.016382,glioma
-48.290813,glioma
-53.964005,glioma
-34.330124,glioma
-42.098507,glioma
-37.870514,glioma
-35.352886,glioma
-39.93957,glioma
-36.802322,glioma
-30.650562,glioma
-42.72774,glioma
-43.877506,glioma
-42.272182,glioma
-1.4128077,glioma
-41.39325,glioma
-46.156258,glioma
-49.01355,glioma
-47.44089,glioma
-22.468515,glioma
-27.991861,glioma
-14.6050005,glioma
-36.289627,glioma
-24.065771,glioma
-41.18475,glioma
-5.7804174,glioma
-15.608736,glioma
-7.374428,glioma
-22.74424,glioma
-41.360817,glioma
-40.75844,glioma
-41.03743,glioma
-36.364044,glioma
-41.637074,glioma
-23.176395,glioma
-19.800444,glioma
-20.443903,glioma
-22.839611,glioma
-37.27344,glioma
-35.7933,glioma
-19.068914,glioma
-31.691708,glioma
-13.464614,glioma
-31.52139,glioma
-18.566185,glioma
-33.06964,glioma
-31.804922,glioma
-36.29484,glioma
-33.12917,glioma
-36.670254,glioma
-40.414227,glioma
-41.57343,glioma
-33.86341,glioma
-39.564693,glioma
-38.890022,glioma
-42.86129,glioma
-35.3313,glioma
-30.736736,glioma
-30.794432,glioma
-39.226585,glioma
-44.845978,glioma
-43.606785,glioma
-44.804916,glioma
-42.210045,glioma
-47.39639,glioma
-41.019253,glioma
-49.11339,glioma
-24.983366,glioma
