feature_1,feature_2,class
-30.75131,11.247181,glioma
-18.48877,10.028159,glioma
-20.827864,5.032036,glioma
-39.520237,-9.051218,glioma
-25.251736,-6.4194994,glioma
-29.936459,-2.1769636,glioma
-40.003174,-21.987904,glioma
-5.2042108,5.483161,glioma
-25.107037,-10.001233,glioma
-27.169334,4.0722823,glioma
-27.431274,1.5873076,glioma
-25.414528,0.28776443,glioma
-29.216908,-9.079465,glioma
-27.411413,0.07374763,glioma
-14.624362,-5.331614,glioma
-15.034379,-3.298359,glioma
-25.823359,4.113561,glioma
-16.128407,-0.95895475,glioma
-28.489233,-6.566884,glioma
-12.770155,-13.502017,glioma
-7.6323085,-1.8407449,glioma
-22.924408,8.903094,glioma
3.587683,-0.80511034,glioma
-24.962011,-2.0836701,glioma
-12.653714,11.899685,glioma
-9.978609,-9.072677,glioma
-29.15877,-12.48757,glioma
-17.971636,-3.7683997,glioma
-16.08221,-10.097722,glioma
-36.27439,3.082369,glioma
-35.44437,-2.525283,glioma
-27.877758,2.0494988,glioma
4.094843,10.918283,glioma
-50.906464,-7.5672617,glioma
-22.837828,-2.3730588,glioma
-27.944088,-5.990148,glioma
-34.74536,2.9854574,glioma
-21.252419,-1.8506092,glioma
-4.1069555,-13.884007,glioma
-5.136315,14.25188,glioma
6.5377326,-13.992513,glioma
-14.501919,11.462941,glioma
-40.399635,-5.065061,glioma
-20.151648,3.5612092,glioma
-14.604103,9.472467,glioma
4.070654,-3.8065388,glioma
11.710901,-24.089579,glioma
16.625538,-9.019549,glioma
5.7912607,17.342934,glioma
-23.178185,-0.71655494,glioma
7.957705,-1.7626456,glioma
-35.22716,5.632264,glioma
-49.95845,-4.2851906,glioma
-30.723217,8.057612,glioma
-36.010906,12.794007,glioma
-31.40827,15.95784,glioma
-41.07603,11.04654,glioma
-45.31022,3.4680884,glioma
-28.984152,7.4473295,glioma
-32.498127,10.975389,glioma
-39.753246,0.28833702,glioma
-41.513935,1.3972896,glioma
-40.25856,6.2447524,glioma
-40.103687,-1.5242106,glioma
-32.929974,3.3758233,glioma
-34.773273,4.7839108,glioma
-54.009487,-7.25205,glioma
-46.629704,5.235,glioma
-31.240046,8.700987,glioma
-38.921055,14.298896,glioma
-47.097645,-3.1556559,glioma
-41.689804,6.107247,glioma
-46.00098,-2.9874878,glioma
-41.09312,4.610614,glioma
-27.016382,11.278382,glioma
-48.290813,2.7216623,glioma
-53.964005,-3.2433064,glioma
-34.330124,4.996038,glioma
-42.098507,6.7588525,glioma
-37.870514,-7.074576,glioma
-35.352886,16.143988,glioma
-39.93957,5.364222,glioma
-36.802322,12.721669,glioma
-30.650562,5.699646,glioma
-42.72774,5.9162703,glioma
-43.877506,-5.6606073,glioma
-42.272182,2.0250854,glioma
-1.4128077,7.196717,glioma
-41.39325,-0.89151525,glioma
-46.156258,0.32269615,glioma
-49.01355,-4.0650253,glioma
-47.44089,3.320078,glioma
-22.468515,-4.16019,glioma
-27.991861,-1.0118742,glioma
-14.6050005,-6.176809,glioma
-36.289627,-6.4443545,glioma
-24.065771,16.917482,glioma
-41.18475,-0.98816365,glioma
-5.7804174,6.9807043,glioma
-15.608736,8.19427,glioma
-7.374428,-0.574193,glioma
-22.74424,2.3725867,glioma
-41.360817,-0.21916173,glioma
-40.75844,3.3205595,glioma
-41.03743,8.668644,glioma
-36.364044,-0.9384523,glioma
-41.637074,-1.2112831,glioma
-23.176395,7.095901,glioma
-19.800444,5.088838,glioma
-20.443903,-2.456219,glioma
-22.839611,-2.1001518,glioma
-37.27344,1.9065007,glioma
-35.7933,-5.4978757,glioma
-19.068914,-7.9004107,glioma
-31.691708,11.533556,glioma
-13.464614,3.8225567,glioma
-31.52139,1.9759033,glioma
-18.566185,-1.8625674,glioma
-33.06964,6.748846,glioma
-31.804922,14.381426,glioma
-36.29484,3.4882526,glioma
-33.12917,9.509849,glioma
-36.670254,4.5861106,glioma
-40.414227,0.12354392,glioma
-41.57343,-0.16410059,glioma
-33.86341,7.770826,glioma
-39.564693,2.4418213,glioma
-38.890022,5.716427,glioma
-42.86129,-9.881387,glioma
-35.3313,-4.2120385,glioma
-30.736736,-0.6831171,glioma
-30.794432,0.30260542,glioma
-39.226585,-6.2925525,glioma
-44.845978,-3.7008932,glioma
-43.606785,-1.3793652,glioma
-44.804916,-2.0579295,glioma
-42.210045,1.9735396,glioma
-47.39639,-2.4718843,glioma
-41.019253,6.217424,glioma
-49.11339,-1.33541,glioma
-24.983366,1.027616,glioma
-27.132868,-1.6617985,glioma
-50.26009,-15.007462,glioma
-32.181347,4.567298,glioma
-38.87205,1.5946342,glioma
-43.879654,0.32871622,glioma
-36.73438,-8.503109,glioma
-38.44069,-10.431008,glioma
-39.010227,-9.134882,glioma
-38.72312,-8.858075,glioma
-40.609543,-10.920011,glioma
-45.203354,-12.747147,glioma
-44.642212,-10.476025,glioma
-46.78665,-8.971854,glioma
-40.83237,-1.7260633,glioma
-40.54618,0.92071,glioma
-39.33781,5.7715635,glioma
-43.301994,4.5026627,glioma
-40.923595,10.246612,glioma
-38.384216,-1.6277176,glioma
-33.501358,3.087478,glioma
-37.877975,0.8415835,glioma
-27.221392,14.914113,glioma
-36.103214,-4.833508,glioma
-34.320995,-4.398813,glioma
-43.08175,5.571041,glioma
-41.05204,10.329572,glioma
-47.004448,4.1951423,glioma
-33.169586,-2.1100454,glioma
-34.244865,-2.0319433,glioma
-37.341534,-2.7409556,glioma
-41.507076,-5.944319,glioma
-47.88826,-10.101583,glioma
-44.534744,-5.875716,glioma
-43.976124,-2.8387446,glioma
-44.87105,-1.4852844,glioma
-40.773,3.3388953,glioma
-42.489384,1.4345332,glioma
-42.965363,1.8004338,glioma
-45.279903,-0.11763762,glioma
-46.66766,-1.26597,glioma
-45.291115,0.5053091,glioma
-41.05299,6.013689,glioma
-40.879612,7.1066265,glioma
-38.747353,11.332139,glioma
-42.318672,8.750601,glioma
-30.076738,15.790935,glioma
-35.233616,8.521178,glioma
-43.17484,-1.4480801,glioma
-31.851892,7.2771096,glioma
-25.394072,11.864496,glioma
-30.239733,7.125458,glioma
-27.097153,11.365866,glioma
-23.534132,15.651793,glioma
-35.91762,15.414798,glioma
-34.704693,19.54977,glioma
-41.515327,12.322984,glioma
-43.66352,-4.475574,glioma
-38.302563,0.6616381,glioma
-43.739613,4.2316275,glioma
-32.876816,5.262787,glioma
-36.168888,2.004931,glioma
-32.22589,6.602019,glioma
-45.495216,-5.625111,glioma
-41.83617,1.6434596,glioma
-45.016544,0.2112806,glioma
-45.77681,3.266432,glioma
-52.941998,-4.7509584,glioma
-50.08131,-0.56672144,glioma
-56.641838,-7.827296,glioma
-55.36019,-5.426704,glioma
-50.459023,0.66609335,glioma
-47.87004,4.6214833,glioma
-50.493122,-3.8867178,glioma
-55.422295,-9.064409,glioma
-54.66403,-7.494253,glioma
-54.17124,-6.4768577,glioma
-54.675495,-6.058126,glioma
-56.238117,-7.3008614,glioma
-51.215393,0.1215968,glioma
-49.412327,0.9906565,glioma
-48.54498,3.179916,glioma
-47.26479,4.9973035,glioma
-31.493837,13.583857,glioma
-33.760155,7.5811744,glioma
-29.750832,13.207845,glioma
-31.252651,14.553619,glioma
-30.178635,19.355795,glioma
-22.589539,31.874115,glioma
-31.889872,8.44758,glioma
-41.512165,-1.3679162,glioma
-29.68939,10.0370655,glioma
-39.731705,0.8512313,glioma
-39.810986,1.0967559,glioma
-38.64853,1.807902,glioma
-28.652641,11.3075,glioma
-33.571262,6.152322,glioma
-36.24988,11.52739,glioma
-33.742435,15.894949,glioma
-39.91056,10.514514,glioma
-38.601475,13.302418,glioma
-36.51846,17.10132,glioma
-39.50801,13.942754,glioma
-40.173344,2.3369029,glioma
-46.124893,-2.2190034,glioma
-40.815044,5.739453,glioma
-43.351463,5.174861,glioma
-39.90888,13.864361,glioma
-47.380264,6.1864047,glioma
-46.672226,8.247725,glioma
-38.136017,6.5705733,glioma
-38.86192,7.084478,glioma
-41.546513,5.671224,glioma
-41.317028,7.1674213,glioma
-46.303574,2.7774343,glioma
-42.595272,8.115534,glioma
-38.938126,-0.20093395,glioma
-41.275948,-1.9887694,glioma
-47.95795,-6.610931,glioma
-42.523773,0.079952344,glioma
-46.9502,-1.7299224,glioma
-40.650604,7.316964,glioma
-45.530796,4.6173224,glioma
-40.27213,0.6145478,glioma
-43.10014,-2.9061806,glioma
-47.825455,-3.3241103,glioma
-37.855644,5.530982,glioma
-36.77113,6.877035,glioma
-40.350643,1.7134124,glioma
-47.235485,-5.3913283,glioma
-42.3388,5.9214435,glioma
-46.968704,3.1185076,glioma
-37.83478,4.212656,glioma
-33.628883,9.03404,glioma
-37.86607,4.1446757,glioma
-37.605038,5.047582,glioma
-36.66569,5.938691,glioma
-46.598625,-3.2677412,glioma
-48.95421,-5.0061326,glioma
-48.039413,-2.0776463,glioma
-39.260555,2.9103038,glioma
-35.806255,5.940697,glioma
-41.721092,4.3151135,glioma
-44.290924,1.401541,glioma
-46.57493,-0.7979127,glioma
-38.757305,-6.0919447,glioma
-37.05417,-3.9622183,glioma
-47.92608,-12.770699,glioma
-36.835705,6.6393666,glioma
-44.994713,-2.1713572,glioma
-49.128727,-5.9808826,glioma
-46.384827,-1.1962892,glioma
-44.25305,1.7463862,glioma
-25.867403,6.790586,glioma
-35.200108,-1.4809318,glioma
-29.640387,5.6355257,glioma
-27.595919,10.973335,glioma
-50.848835,-11.024953,glioma
-51.100986,-10.260443,glioma
-58.38712,-17.785166,glioma
-29.82061,6.3021045,glioma
-47.361263,-5.855999,glioma
-39.382057,2.7211325,glioma
-38.534355,4.594739,glioma
-42.386715,0.17643182,glioma
-33.00699,4.1096168,glioma
-37.91699,-1.2978408,glioma
-35.773876,0.59665495,glioma
-35.567623,1.772334,glioma
-39.317863,8.776114,glioma
-42.537186,6.6294346,glioma
-43.69512,6.896121,glioma
-48.93132,2.4880683,glioma
-48.07329,3.8026829,glioma
-51.835407,-0.97711265,glioma
-51.518265,-0.2027526,glioma
-53.03094,-1.9491357,glioma
-54.588264,-3.5137892,glioma
-42.461246,-1.6405206,glioma
-36.04796,4.858979,glioma
-40.546364,0.6550628,glioma
-38.369022,4.510937,glioma
-36.496056,11.356902,glioma
