feature_1,feature_2,feature_3,class
-30.65751,13.709243,-10.035045,glioma
-18.934776,10.885816,-0.6166934,glioma
-21.91662,6.048125,0.23585148,glioma
-41.794403,-6.8971853,5.627703,glioma
-27.364962,-5.2604694,7.3470674,glioma
-31.731379,-0.60219187,5.6437583,glioma
-43.114357,-19.813267,6.8484836,glioma
-5.9828453,5.192288,7.7516246,glioma
-27.463652,-8.855538,8.359923,glioma
-28.224955,5.663208,2.3525736,glioma
-28.76576,2.945754,6.184352,glioma
-26.983526,1.6569225,6.542231,glioma
-31.526815,-7.618515,11.589497,glioma
-28.62871,1.7561594,5.168237,glioma
-16.336351,-5.111069,9.679234,glioma
-16.630514,-3.0522718,12.993166,glioma
-26.664268,5.7762947,1.1195397,glioma
-17.20933,-0.36928728,16.701445,glioma
-30.416151,-5.072213,8.654357,glioma
-14.786585,-13.471785,14.103797,glioma
-8.546098,-1.8388561,16.461454,glioma
-23.17826,10.336067,4.9837804,glioma
3.177295,-1.7422514,4.6724153,glioma
-26.391775,-1.0065149,-1.5239284,glioma
-12.508726,13.220784,-4.3701262,glioma
-11.736209,-9.026632,9.594588,glioma
-31.578562,-10.935752,10.367786,glioma
-19.253626,-2.9474723,12.43624,glioma
-17.871923,-9.54751,14.87562,glioma
-37.456707,5.227622,-8.452216,glioma
-37.227043,-0.42783165,-1.0575793,glioma
-29.334293,3.466492,2.2524788,glioma
4.2271485,10.538109,15.661797,glioma
-52.890774,-4.5432043,-8.810354,glioma
-23.662434,-1.0440278,-0.50718606,glioma
-29.466957,-4.253766,-0.6559337,glioma
-36.029465,5.0483246,-2.9247072,glioma
-22.610905,-0.8778542,-0.13951492,glioma
-5.821112,-14.433357,4.91145,glioma
-4.0128155,14.797651,-8.769687,glioma
4.928124,-15.430303,14.276382,glioma
-14.278606,11.777532,12.714249,glioma
-42.33522,-2.7967012,2.730265,glioma
-21.296438,4.834762,1.1783204,glioma
-14.791303,10.250111,9.418228,glioma
3.0080135,-4.9221463,6.8211584,glioma
9.169935,-25.81715,-10.878684,glioma
16.172977,-10.854738,0.5109284,glioma
6.9524727,16.865654,7.6924973,glioma
-24.02254,0.4455136,2.7615304,glioma
7.455376,-2.7395117,0.056948338,glioma
-36.263344,7.6779747,-0.91485417,glioma
-51.817616,-1.2367411,-7.0732923,glioma
-31.369574,9.686148,1.2352852,glioma
-36.131237,15.36335,-12.127901,glioma
-31.558043,17.976528,-10.706628,glioma
-41.349323,13.871114,-19.878832,glioma
-46.437046,6.274716,-16.254963,glioma
-29.56709,9.111469,5.5854807,glioma
-32.729656,13.421328,-6.3335376,glioma
-41.287334,2.5757725,-1.1761228,glioma
-43.002354,3.826544,-4.2944527,glioma
-41.280342,8.668624,-7.703173,glioma
-41.749718,0.7575694,1.9299828,glioma
-34.145515,5.112257,4.486506,glioma
-35.521534,7.166659,-1.5787333,glioma
-56.06254,-4.008415,-7.4912887,glioma
-46.579456,9.076303,-20.609324,glioma
-31.561493,10.989524,-1.274117,glioma
-38.57451,17.321142,-21.686596,glioma
-48.86533,-0.25103047,-5.3256407,glioma
-42.786797,8.5820265,-10.980521,glioma
-47.799473,-0.29447109,-3.6297176,glioma
-42.20797,7.1216154,-5.3152833,glioma
-27.791739,12.735312,-2.4174674,glioma
-49.39887,5.7898393,-14.755517,glioma
-55.600037,0.06721421,-13.725838,glioma
-35.469467,6.9049635,1.196853,glioma
-42.773033,9.686572,-10.883958,glioma
-40.007538,-4.97989,6.5437655,glioma
-35.108803,18.81867,-16.388556,glioma
-40.99819,7.898153,-7.5587134,glioma
-37.075516,15.27031,-13.376799,glioma
-31.283022,7.4374294,6.107114,glioma
-43.440372,8.859816,-12.449604,glioma
-45.77352,-3.0787373,0.32841906,glioma
-43.484455,4.6267223,-6.30807,glioma
-1.0146337,6.9244485,3.7253785,glioma
-42.871017,1.557047,0.85213035,glioma
-47.434742,3.31816,-7.358598,glioma
-50.80474,-1.0700291,-5.7507825,glioma
-48.32747,6.577871,-14.769409,glioma
-24.324669,-3.1168904,5.22423,glioma
-29.245216,0.5407982,4.703997,glioma
-16.25874,-5.874398,16.353445,glioma
-38.297497,-4.4377794,-1.3611342,glioma
-23.847937,18.68928,-7.12533,glioma
-42.88666,1.368993,-0.38739282,glioma
-6.1729856,6.7559557,13.88254,glioma
-16.12303,9.0170965,7.780505,glioma
-8.047199,-0.8156585,11.093373,glioma
-23.792652,3.6903062,2.622196,glioma
-42.772717,2.2676404,0.21773794,glioma
-41.75937,5.990288,-2.926069,glioma
-41.218517,11.788017,-12.000651,glioma
-37.991238,1.0640259,5.507227,glioma
-43.27231,1.1485134,-0.116020806,glioma
-24.208063,8.262215,5.5454955,glioma
-20.631182,6.151208,5.7771444,glioma
-21.669786,-1.702498,14.070268,glioma
-24.581228,-1.0576253,7.690171,glioma
-38.667118,4.1518226,-4.0700264,glioma
-37.8551,-3.4387062,0.38668826,glioma
-21.015821,-6.8418245,7.2577076,glioma
-31.8358,13.907283,-8.817382,glioma
-13.878454,4.1849523,13.157338,glioma
-32.259403,4.0225744,-6.3663473,glioma
-19.967686,-1.0982702,11.583578,glioma
-33.915215,8.808543,-2.7102506,glioma
-32.372635,16.143167,-9.798793,glioma
-37.68725,5.5020866,-0.19012216,glioma
-33.72024,11.76804,-3.849308,glioma
-37.92458,6.75682,-1.9476546,glioma
-41.96101,2.4652562,-1.2810607,glioma
-43.168606,2.2603579,-1.9219909,glioma
-34.764183,9.742938,-2.2000844,glioma
-40.959457,4.758087,-2.8581488,glioma
-40.03468,8.021054,-6.5597672,glioma
-45.17622,-7.4369483,6.489805,glioma
-37.202576,-2.3020504,7.8659234,glioma
-32.284374,0.92403394,8.065711,glioma
-32.40871,1.9620254,7.2590137,glioma
-41.28344,-4.088696,6.1149974,glioma
-46.728683,-1.122561,0.7582411,glioma
-45.299183,1.1397552,-0.6576836,glioma
-46.54288,0.55968446,-1.5657575,glioma
-43.645447,4.459777,-3.3278434,glioma
-49.151222,0.35893452,-4.6884584,glioma
-42.050182,8.704707,-7.822021,glioma
-50.732697,1.6402398,-9.137426,glioma
-26.42777,2.2353182,9.902703,glioma
-28.734003,-0.2227006,10.176403,glioma
-52.87139,-12.023152,1.2023216,glioma
-32.97722,6.437105,1.3511523,glioma
-40.03593,3.9808571,-2.0125535,glioma
-45.28443,3.0368507,-6.5877147,glioma
-38.950897,-6.451666,6.586478,glioma
-40.751648,-8.301369,6.0164456,glioma
-41.243042,-6.9501233,3.2961824,glioma
-40.918728,-6.666722,3.0700676,glioma
-42.944893,-8.616739,3.2662446,glioma
-47.66919,-10.119544,2.3208535,glioma
-47.0146,-7.9321694,6.0967007,glioma
-49.039364,-6.2366533,2.9819686,glioma
-42.496067,0.611329,1.7269171,glioma
-41.929985,3.3462214,-1.126363,glioma
-40.279205,8.256749,-5.7527204,glioma
-44.352165,7.3165946,-10.333129,glioma
-41.24022,13.201576,-16.169344,glioma
-40.01196,0.4796579,4.3523297,glioma
-34.747486,4.85732,4.3449078,glioma
-39.323635,2.9908135,1.4944644,glioma
-26.878386,17.105844,-1.7611575,glioma
-37.97407,-2.8227785,5.6595745,glioma
-36.074272,-2.563935,6.005204,glioma
-43.82346,8.513854,-12.378334,glioma
-41.088886,13.446453,-17.57993,glioma
-47.458233,7.64382,-18.26539,glioma
-34.64911,-0.37973607,4.310143,glioma
-35.735657,-0.19916679,3.330569,glioma
-38.919926,-0.65080446,1.953571,glioma
-43.419163,-3.5589767,1.7390188,glioma
-50.17762,-7.2811565,0.42027178,glioma
-46.45007,-3.2398245,-0.018248893,glioma
-45.62833,-0.17905079,-1.8637664,glioma
-46.42923,1.2742018,-4.3640237,glioma
-41.63303,6.085665,-5.0261445,glioma
-43.62663,4.1087823,-5.372054,glioma
-44.20638,4.451935,-6.365749,glioma
-46.780045,2.624892,-6.95466,glioma
-48.29855,1.5316116,-7.2451153,glioma
-46.75984,3.240937,-8.023525,glioma
-41.964413,8.607282,-9.922473,glioma
-41.62931,9.767971,-10.728078,glioma
-39.071606,14.013695,-13.247356,glioma
-42.78648,11.685575,-14.901851,glioma
-29.771069,18.26016,-10.839328,glioma
-35.610332,11.095072,-7.3425817,glioma
-44.593746,1.3602824,-3.6105692,glioma
-32.71562,9.271956,0.21416152,glioma
-25.841055,13.279963,2.1232946,glioma
-31.261786,8.767467,1.1576257,glioma
-27.813522,12.894891,-2.8547385,glioma
-23.869286,16.946844,-4.700889,glioma
-35.817623,18.13014,-15.133925,glioma
-33.879578,22.59268,-21.381477,glioma
-41.162804,15.701634,-21.979952,glioma
-45.584457,-1.9532931,2.2121282,glioma
-39.873775,2.7856965,1.834074,glioma
-44.999878,6.85497,-10.554614,glioma
-34.112484,7.008354,3.5217104,glioma
-37.66896,3.9659271,3.567357,glioma
-33.39592,8.292235,2.574621,glioma
-47.501884,-2.9910948,1.0061885,glioma
-43.316628,4.066947,-4.2477756,glioma
-46.582546,2.8708644,-6.6245427,glioma
-46.929768,6.1797557,-11.238578,glioma
-54.78283,-1.50166,-10.163264,glioma
-51.53777,2.5596967,-12.075772,glioma
-58.671246,-4.3476906,-11.337543,glioma
-57.18679,-2.0327725,-13.28477,glioma
-51.619843,3.9078906,-16.688814,glioma
-48.37722,7.977975,-19.413454,glioma
-52.322433,-0.8787178,-6.95748,glioma
-57.610332,-5.7241673,-6.614734,glioma
-56.73521,-4.2000375,-7.7082653,glioma
-56.1626,-3.2006738,-8.623442,glioma
-56.61673,-2.7263572,-10.014697,glioma
-58.247223,-3.843799,-10.986877,glioma
-52.65065,3.2723703,-14.573829,glioma
-50.588684,4.2833996,-14.722247,glioma
-49.084743,6.760825,-18.784288,glioma
-47.247967,8.872757,-20.77194,glioma
-31.282078,16.183601,-9.885565,glioma
-34.760365,9.510069,-3.7299461,glioma
-30.138239,15.015489,-6.3075023,glioma
-31.475178,16.578323,-10.069582,glioma
-29.899822,21.474077,-14.958943,glioma
-21.035324,33.91307,-22.743277,glioma
-32.23793,10.7684965,-1.3498535,glioma
-43.185387,1.0343187,-0.9950247,glioma
-30.405037,11.699645,-1.8455098,glioma
-41.23908,3.1146793,-2.172532,glioma
-41.31964,3.3644474,-2.3770254,glioma
-40.11591,4.0019565,-1.9350903,glioma
-29.365404,12.866603,-2.0244381,glioma
-34.677193,8.021081,-1.8020947,glioma
-36.83216,13.739358,-10.126232,glioma
-33.802177,18.148481,-12.561781,glioma
-40.4366,13.093293,-14.027048,glioma
-38.76553,15.95209,-17.222307,glioma
-36.16882,19.846878,-20.86091,glioma
-39.190247,16.993252,-21.828352,glioma
-41.461647,4.7506027,-4.3216176,glioma
-47.789787,0.5680109,-6.079413,glioma
-41.636017,8.350281,-9.734523,glioma
-44.18082,8.073559,-12.64367,glioma
