feature_1,feature_2,feature_3,feature_4,class
-30.75131,11.247181,-9.482494,8.499163,glioma
-18.48877,10.028159,-0.5521492,21.97662,glioma
-20.827864,5.032036,0.7584232,18.526121,glioma
-39.520237,-9.051218,5.951553,-3.5794444,glioma
-25.251736,-6.4194994,7.641035,-11.00876,glioma
-29.936459,-2.1769636,5.818851,-8.878914,glioma
-40.003174,-21.987904,7.3345976,-3.4792974,glioma
-5.2042108,5.483161,8.0196705,-10.316611,glioma
-25.107037,-10.001233,8.862628,-4.273462,glioma
-27.169334,4.0722823,2.7612388,4.0956717,glioma
-27.431274,1.5873076,6.1764283,-3.7726169,glioma
-25.414528,0.28776443,6.9700947,10.436845,glioma
-29.216908,-9.079465,12.101801,7.413431,glioma
-27.411413,0.07374763,5.061673,4.620699,glioma
-14.624362,-5.331614,10.062825,-2.56203,glioma
-15.034379,-3.298359,13.085835,-7.0627446,glioma
-25.823359,4.113561,1.5107642,12.056403,glioma
-16.128407,-0.95895475,16.060658,-0.19604799,glioma
-28.489233,-6.566884,8.813759,0.6671789,glioma
-12.770155,-13.502017,13.971478,-4.382056,glioma
-7.6323085,-1.8407449,15.986427,3.9383788,glioma
-22.924408,8.903094,4.630768,3.6295214,glioma
3.587683,-0.80511034,4.39532,0.44482493,glioma
-24.962011,-2.0836701,-1.0507042,-9.020152,glioma
-12.653714,11.899685,-4.2142534,7.844572,glioma
-9.978609,-9.072677,9.414135,-6.705194,glioma
-29.15877,-12.48757,10.3969555,-5.073059,glioma
-17.971636,-3.7683997,11.64336,0.0762613,glioma
-16.08221,-10.097722,14.114407,-4.5267034,glioma
-36.27439,3.082369,-7.773017,9.695175,glioma
-35.44437,-2.525283,-0.58776534,7.740408,glioma
-27.877758,2.0494988,2.7594826,2.6467862,glioma
4.094843,10.918283,15.603386,-3.3855946,glioma
-50.906464,-7.5672617,-8.345977,4.7279973,glioma
-22.837828,-2.3730588,-0.09434948,29.148178,glioma
-27.944088,-5.990148,-0.11254628,23.80979,glioma
-34.74536,2.9854574,-2.5927558,8.402365,glioma
-21.252419,-1.8506092,0.39754912,-10.15173,glioma
-4.1069555,-13.884007,5.083829,18.30876,glioma
-5.136315,14.25188,-8.652045,12.764878,glioma
6.5377326,-13.992513,13.957597,3.0145526,glioma
-14.501919,11.462941,11.502159,11.0314045,glioma
-40.399635,-5.065061,2.977526,6.4960985,glioma
-20.151648,3.5612092,1.8072166,18.175259,glioma
-14.604103,9.472467,9.398717,6.047257,glioma
4.070654,-3.8065388,6.431244,-11.085177,glioma
11.710901,-24.089579,-10.550822,-7.6565776,glioma
16.625538,-9.019549,0.6073995,3.411236,glioma
5.7912607,17.342934,6.964495,-4.946252,glioma
-23.178185,-0.71655494,2.1223147,-2.4719331,glioma
7.957705,-1.7626456,-0.3835372,-15.42782,glioma
-35.22716,5.632264,-0.8841875,-5.820644,glioma
-49.95845,-4.2851906,-6.7289443,-4.5590186,glioma
-30.723217,8.057612,0.8613003,-6.7950654,glioma
-36.010906,12.794007,-11.9898405,-3.1568503,glioma
-31.40827,15.95784,-10.780591,-6.2163415,glioma
-41.07603,11.04654,-19.514154,-3.6469564,glioma
-45.31022,3.4680884,-15.894112,-4.948232,glioma
-28.984152,7.4473295,4.9484878,-4.0632725,glioma
-32.498127,10.975389,-6.1966233,-6.3724647,glioma
-39.753246,0.28833702,-1.0681415,-9.098884,glioma
-41.513935,1.3972896,-4.0468407,-7.478609,glioma
-40.25856,6.2447524,-7.5315695,-0.92571354,glioma
-40.103687,-1.5242106,1.9594158,-7.485858,glioma
-32.929974,3.3758233,4.2828455,-6.1747246,glioma
-34.773273,4.7839108,-1.5650481,-5.9261913,glioma
-54.009487,-7.25205,-7.04715,-2.4966788,glioma
-46.629704,5.235,-19.698141,-3.134312,glioma
-31.240046,8.700987,-1.1092651,-6.464455,glioma
-38.921055,14.298896,-21.171553,-2.1458924,glioma
-47.097645,-3.1556559,-4.9673505,-5.32973,glioma
-41.689804,6.107247,-10.625735,-0.19358967,glioma
-46.00098,-2.9874878,-3.3378983,-0.9160265,glioma
-41.09312,4.610614,-5.1062193,-2.4599524,glioma
-27.016382,11.278382,-2.429273,-12.734391,glioma
-48.290813,2.7216623,-14.379602,-3.3245668,glioma
-53.964005,-3.2433064,-13.307242,-2.4736068,glioma
-34.330124,4.996038,1.213149,-5.120739,glioma
-42.098507,6.7588525,-10.552434,-6.0122094,glioma
-37.870514,-7.074576,6.69851,-4.174763,glioma
-35.352886,16.143988,-16.049799,0.86769307,glioma
-39.93957,5.364222,-7.2302666,-7.210005,glioma
-36.802322,12.721669,-13.193896,-5.624227,glioma
-30.650562,5.699646,5.4783654,-6.543517,glioma
-42.72774,5.9162703,-12.174129,-6.052325,glioma
-43.877506,-5.6606073,0.45123816,-10.531273,glioma
-42.272182,2.0250854,-6.2217455,-9.756576,glioma
-1.4128077,7.196717,3.6592166,26.222246,glioma
-41.39325,-0.89151525,0.8909031,-5.194166,glioma
-46.156258,0.32269615,-7.1856384,-5.3266935,glioma
-49.01355,-4.0650253,-5.4278936,-5.880008,glioma
-47.44089,3.320078,-14.393171,-3.759387,glioma
-22.468515,-4.16019,5.4893208,-11.4694,glioma
-27.991861,-1.0118742,4.662014,-8.121951,glioma
-14.6050005,-6.176809,15.971818,-5.001379,glioma
-36.289627,-6.4443545,-0.72317,18.249601,glioma
-24.065771,16.917482,-6.9100394,10.100005,glioma
-41.18475,-0.98816365,-0.2262636,-5.7540517,glioma
-5.7804174,6.9807043,13.255576,1.1875601,glioma
-15.608736,8.19427,7.652157,8.033362,glioma
-7.374428,-0.574193,10.807328,22.416216,glioma
-22.74424,2.3725867,2.825711,14.08259,glioma
-41.360817,-0.21916173,0.2573686,-4.462117,glioma
