feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,class
-30.75131,11.247181,-9.482494,8.499163,-3.0981627,6.378854,-0.80446166,-4.124521,8.308016,glioma
-18.48877,10.028159,-0.5521492,21.97662,4.0130925,9.504494,-0.52378,-5.419221,7.190691,glioma
-20.827864,5.032036,0.7584232,18.526121,3.73869,10.198015,1.2409551,-3.15349,3.0141118,glioma
-39.520237,-9.051218,5.951553,-3.5794444,3.3554869,-1.6294466,9.114073,-0.8102017,-3.2454758,glioma
-25.251736,-6.4194994,7.641035,-11.00876,3.880593,5.2667723,7.225509,1.6113601,2.7238216,glioma
-29.936459,-2.1769636,5.818851,-8.878914,5.799502,0.88361526,7.326099,2.2652164,3.591964,glioma
-40.003174,-21.987904,7.3345976,-3.4792974,-2.719605,1.9180608,5.0625114,-2.7708569,-0.4692597,glioma
-5.2042108,5.483161,8.0196705,-10.316611,0.3580996,12.764847,12.912493,1.3103755,-0.4914574,glioma
-25.107037,-10.001233,8.862628,-4.273462,2.5064232,7.094246,7.7700734,1.261475,1.2048128,glioma
-27.169334,4.0722823,2.7612388,4.0956717,6.180581,2.5167413,9.421892,4.80233,-3.0332174,glioma
-27.431274,1.5873076,6.1764283,-3.7726169,2.9824138,-0.9392591,15.856033,2.4082172,-3.6527922,glioma
-25.414528,0.28776443,6.9700947,10.436845,13.810953,3.4088588,-3.0923147,3.7255106,-3.4227805,glioma
-29.216908,-9.079465,12.101801,7.413431,9.679755,1.3286941,3.3974133,0.26043862,-5.812549,glioma
-27.411413,0.07374763,5.061673,4.620699,13.916268,-2.5270545,-5.561396,6.6436296,-5.836439,glioma
-14.624362,-5.331614,10.062825,-2.56203,1.6037279,12.170649,11.141748,1.3439951,0.8585697,glioma
-15.034379,-3.298359,13.085835,-7.0627446,0.26196164,5.2308426,9.976048,0.11312389,1.3031169,glioma
-25.823359,4.113561,1.5107642,12.056403,12.50931,6.395867,0.9289294,10.473259,-2.741919,glioma
-16.128407,-0.95895475,16.060658,-0.19604799,5.810719,-1.5224184,9.661864,-1.5081617,-3.1336489,glioma
-28.489233,-6.566884,8.813759,0.6671789,7.352428,-3.364424,9.025831,4.3617463,-5.514956,glioma
-12.770155,-13.502017,13.971478,-4.382056,-1.5803111,0.80406696,7.2838144,-1.8824803,-6.834664,glioma
-7.6323085,-1.8407449,15.986427,3.9383788,-0.74479145,0.2011896,10.336252,-4.065093,-11.459903,glioma
-22.924408,8.903094,4.630768,3.6295214,12.586468,-0.8031743,5.2117157,10.603216,-3.0915103,glioma
3.587683,-0.80511034,4.39532,0.44482493,4.384094,-3.157952,-1.3465682,2.7897198,-2.3642244,glioma
-24.962011,-2.0836701,-1.0507042,-9.020152,-4.4210896,9.159985,18.478777,2.1088693,-3.844046,glioma
-12.653714,11.899685,-4.2142534,7.844572,11.60306,-1.7257016,-4.480145,2.7414272,2.6001685,glioma
-9.978609,-9.072677,9.414135,-6.705194,-1.4512699,-6.1254106,-5.275404,-4.3568,-3.4150965,glioma
-29.15877,-12.48757,10.3969555,-5.073059,2.5652144,-5.367709,9.239258,-2.6835823,-3.39702,glioma
-17.971636,-3.7683997,11.64336,0.0762613,8.319393,-13.082688,-2.8756375,0.15539211,-12.472595,glioma
-16.08221,-10.097722,14.114407,-4.5267034,-0.22178642,-8.726177,9.966943,-6.078193,-6.499237,glioma
-36.27439,3.082369,-7.773017,9.695175,-2.2058303,10.462538,5.053514,0.3393324,3.7448843,glioma
-35.44437,-2.525283,-0.58776534,7.740408,9.253656,3.062582,-6.722961,4.730444,3.4451487,glioma
-27.877758,2.0494988,2.7594826,2.6467862,2.9006002,2.8851147,8.845938,5.1322722,-6.5551257,glioma
4.094843,10.918283,15.603386,-3.3855946,3.0771828,3.478573,14.117346,0.06698833,-7.3675528,glioma
-50.906464,-7.5672617,-8.345977,4.7279973,-5.95814,5.07726,2.2583346,-7.1970124,9.974359,glioma
-22.837828,-2.3730588,-0.09434948,29.148178,2.602082,9.513582,0.7515688,-5.123082,2.3647745,glioma
-27.944088,-5.990148,-0.11254628,23.80979,5.8121448,8.5218935,3.5997808,-1.2412258,0.72429365,glioma
-34.74536,2.9854574,-2.5927558,8.402365,8.409744,5.0610037,-2.1818986,3.5448906,8.040851,glioma
-21.252419,-1.8506092,0.39754912,-10.15173,0.8858192,10.931757,12.899402,3.1300323,-1.0735581,glioma
-4.1069555,-13.884007,5.083829,18.30876,-1.7554283,-5.162751,-1.3665669,5.8065515,-8.314181,glioma
-5.136315,14.25188,-8.652045,12.764878,-8.605,1.0570233,-8.357194,-1.959292,-2.1524875,glioma
6.5377326,-13.992513,13.957597,3.0145526,-12.004035,-3.1631112,0.121709876,-0.3501685,-7.3061047,glioma
-14.501919,11.462941,11.502159,11.0314045,15.952596,4.2958255,-0.54460305,-1.7422875,8.821417,glioma
-40.399635,-5.065061,2.977526,6.4960985,10.366257,5.098932,-0.21009175,-1.2223169,10.703144,glioma
-20.151648,3.5612092,1.8072166,18.175259,12.468431,7.268708,-3.5053818,6.048661,-1.3269527,glioma
